S.No,Question,Options,Answer,Explanation,Subject,Sub-Topic
11,"Consider the following statements:

1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of
Courts Act, 1971 was passed.

2. The Constitution of India empowers the Supreme Court and the High
Courts to punish for contempt of themselves.

3. The Constitution of India defines Civil Contempt and Criminal
Contempt.

4. In India, the Parliament is vested with the powers to make laws on
Contempt of Court.

5. Which of the statements given above isare correct?","(a) 1 and 2 only
(b) 1, 2 and 4
(c) 3 and 4 only
(d) 3 only",B,"Statement 1 is Correct: The H.N. Sanyal Committee was set up in 1961 to
comprehensively examine the law relating to contempt of court. Based on
its recommendations, the Contempt of Courts Act, 1971 was enacted to
define and limit the powers of certain courts in punishing contempts.

Statement 2 is Correct: Article 129 of the Constitution declares the
Supreme Court as a Court of Record and grants it the power to punish for
contempt of itself. Similarly, Article 215 grants this same power to the
High Courts.

Statement 3 is Incorrect: While the Constitution mentions ""contempt of
court"", it does not define what constitutes Civil Contempt or Criminal
Contempt. These definitions are explicitly provided in Section 2 of the
Contempt of Courts Act, 1971.

Statement 4 is Correct: The Parliament has the power to legislate on
Contempt of Court. This is derived from Entry 77 of the Union List
(concerning the Supreme Court) and Entry 14 of the Concurrent List
(concerning other courts).

Conclusion: Statements 1, 2, and 4 are correct, making (b) the right
choice.",Polity,Judiciary
12,"With reference to India, consider the following statements:

1. Government law officers and legal firms are recognised as advocates,
but corporate lawyers and patent attorneys are excluded from recognition
as advocates.

2. Bar Councils have the power to lay down the rules relating to legal
education and recognition of law colleges.

3. Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is Incorrect: The Advocates Act, 1961 recognizes only one
class of persons entitled to practice law, which are ""Advocates"". A
""Legal Firm"" is an association or partnership of lawyers; the firm
itself is not and cannot be recognized as an advocate since only natural
persons can enroll with the Bar Council. Furthermore, full-time salaried
corporate lawyers are not allowed to practice as advocates in courts as
per Bar Council rules.

Statement 2 is Correct: The Bar Council of India (BCI) was established
under the Advocates Act, 1961. One of its primary statutory functions is
to promote legal education and to lay down standards of such education
in consultation with the Universities and State Bar Councils. It also
has the power to recognize Universities whose degree in law shall be a
qualification for enrollment as an advocate.

UPSC Tip: Always be wary of absolute statements or groupings in Polity
questions. Knowing that a 'firm' (a non-living entity) cannot be
enrolled as an advocate immediately eliminates Statement 1.",Polity,Judiciary
13,"Consider the following statements:

1. A bill amending the Constitution requires a prior recommendation of
the President of India.

2. When a Constitution Amendment Bill is presented to the President of
India, it is obligatory for the President of India to give hisher
assent.

3. A Constitution Amendment Bill must be passed by both the Lok Sabha
and the Rajya Sabha by a special majority and there is no provision for
joint sitting.

4. Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: An amendment to the Constitution can be
initiated by the introduction of a bill for the purpose in either House
of Parliament. Unlike Money Bills or bills altering state boundaries, a
Constitutional Amendment Bill does not require the prior permission or
recommendation of the President.

Statement 2 is Correct: The 24th Constitutional Amendment Act of 1971
amended Article 368 to make it obligatory for the President to give his
assent to a Constitutional Amendment Bill. The President cannot withhold
assent, nor return the bill for reconsideration.

Statement 3 is Correct: The bill must be passed in each House by a
special majority (a majority of the total membership of the House and a
majority of not less than two-thirds of the members of the House present
and voting). If there is a disagreement between the two Houses, the bill
falls; there is no provision for a joint sitting of the two Houses to
resolve a deadlock regarding a Constitutional Amendment Bill.

Conclusion: Statements 2 and 3 are correct.",Polity,Parliament
14,"Consider the following statements:

1. The Constitution of India classifies the ministers into four ranks
viz. Cabinet Minister, Minister of State with Independent Charge,
Minister of State and Deputy Minister.

2. The total number of ministers in the Union Government, including the
Prime Minister, shall not exceed 15 percent of the total number of
members in the Lok Sabha.

Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is Incorrect: The Constitution of India does not classify
ministers into these ranks. Article 74 merely states that ""There shall
be a Council of Ministers with the Prime Minister at the head"". The
classification into Cabinet Ministers, Ministers of State (Independent
Charge), Ministers of State, and Deputy Ministers is based on British
parliamentary conventions and internal administrative rules, not
explicit constitutional text.

Statement 2 is Correct: The 91st Constitutional Amendment Act of 2003
added Article 75(1A), which explicitly mandates that the total number of
Ministers, including the Prime Minister, in the Council of Ministers
shall not exceed 15% of the total number of members of the House of the
People (Lok Sabha).

UPSC Tip: The word ""Constitution"" is often the trap in Polity
questions. Always double-check if a widely known political convention or
administrative structure is actually written in the Constitution.",Polity,Parliament
15,"Which of the following isare the exclusive power(s) of Lok Sabha ?

1. To ratify the declaration of Emergency

2. To pass a motion of no-confidence against the Council of Ministers

3. To impeach the President of India

 Select the correct answer using the code given below:","(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",B,"Statement 1 is Incorrect: The declaration of a National Emergency must
be ratified by both Houses of Parliament (the Lok Sabha and the Rajya
Sabha) within one month from the date of its issue. It is not an
exclusive power of the Lok Sabha.

Statement 2 is Correct: According to Article 75(3) of the Constitution,
the Council of Ministers is collectively responsible to the House of the
People (Lok Sabha). Therefore, a motion of no-confidence can only be
introduced and passed in the Lok Sabha. If it passes, the government
must resign. This is an exclusive power.

Statement 3 is Incorrect: The impeachment of the President (Article 61)
for violation of the Constitution can be initiated by either House of
Parliament. It requires a special majority in both houses, making it a
shared power, not an exclusive one.

UPSC Tip: Know the exact differences in powers between the two houses.
Lok Sabha's exclusive powers primarily relate to government survival
(No-confidence) and finance (Money Bills). Rajya Sabha's exclusive
powers include authorizing Parliament to make laws on State List
subjects (Article 249) and creating new All-India Services (Article
312).

Gemini said",Polity,Parliament
16,"With reference to anti-defection law in India, consider the
following statements:

1. The law specifies that a nominated legislator cannot join any
political party within six months of being appointed to the House.

2. The law does not provide any time-frame within which the presiding
officer has to decide a defection case.

 Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is Incorrect: The Tenth Schedule states that a nominated
member of a House shall be disqualified if they join any political party
after the expiry of six months from the date they take their seat. This
means they are actually allowed to join a party within the first six
months. The statement claims the exact opposite.

Statement 2 is Correct: The anti-defection law (Tenth Schedule)
intentionally or unintentionally omitted any binding time limit for the
Presiding Officer (SpeakerChairman) to decide on a disqualification
petition. This loophole has often been exploited for political gain
through indefinite delays.

UPSC Tip: While the Supreme Court (in Keisham Meghachandra Singh vs. The
Hon'ble Speaker, 2020) ruled that the Speaker should ideally decide
within 3 months, the text of the law itself still does not provide a
timeframe. Always read ""The law specifies..."" very literally in UPSC
polity questions.",Polity,Parliament
17,"Consider the following statements:

1. Attorney General of India and Solicitor General of India are the
only officers of the Government who are allowed to participate in the
meetings of the Parliament of India.

2. According to the Constitution of India, the Attorney General of
India submits his resignation when the Government which appointed him
resigns.

Which of the statements given above isare correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",D,"Statement 1 is Incorrect: Article 88 of the Constitution explicitly
grants the right to speak in, and take part in the proceedings of,
either House of Parliament only to Ministers and the Attorney General of
India (AGI). The Solicitor General is a statutory post assisting the AGI
and has no constitutional right to participate in parliamentary
proceedings.

Statement 2 is Incorrect: Article 76(4) states that the Attorney General
holds office during the pleasure of the President. The Constitution does
not contain any provision requiring the AGI to resign when the Council
of Ministers resigns. While they usually do resign out of political
convention (since they are appointed on the advice of the outgoing
government), it is not a constitutional mandate.

UPSC Tip: Watch out for the trap words ""According to the Constitution""
combined with political conventions. Conventions are not written in the
Constitution.",Polity,Union executive
18,"With reference to the writs issued by the Courts in India, consider
the following statements:

1. Mandamus will not lie against a private organisation unless it is
entrusted with a public duty.

2. Mandamus will not lie against a Company even though it may be a
Government Company.

3. Any public minded person can be a petitioner to move the Court to
obtain the writ of Quo Warranto.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",C,"Statement 1 is Correct: A writ of Mandamus (""We command"") is issued to
compel a public authority to perform its legal duty. It cannot be issued
against a purely private individual or private body. However, if a
private entity is discharging a public function or public duty, Mandamus
can be issued against it to that extent.

Statement 2 is Incorrect: Mandamus can absolutely be issued against any
public body, corporation, inferior court, tribunal, or Government
Company commanding them to perform a publicstatutory duty that they
have refused to perform.

Statement 3 is Correct: The writ of Quo Warranto (""By what authority"")
is used to inquire into the legality of a person's claim to a public
office. Unlike Certiorari or Prohibition, where usually the aggrieved
party must apply, the strict rule of locus standi is relaxed here. Any
public-minded person can petition the court for this writ to prevent a
usurper from holding a public office.

UPSC Tip: Revise the 5 writs (Habeas Corpus, Mandamus, Prohibition,
Certiorari, Quo Warranto) deeply, specifically focusing on against whom
they can and cannot be issued.",Polity,Fundamental Rights
19,"With reference to Ayushman Bharat Digital Mission, consider the
following statements:

1. Private and public hospitals must adopt it.

2. As it aims to achieve universal health coverage, every citizen of
India should be part of it ultimately.

3. It has seamless portability across the country.

Which of the statements given above isare correct?","(a) 1 and 2 only
(b) 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: Participation in the Ayushman Bharat Digital
Mission (ABDM) is entirely voluntary for healthcare providers (both
private and public hospitals, clinics, and doctors). There is no
mandatory requirement (""must adopt"") forced by the government.

Statement 2 is Incorrect: Creating an Ayushman Bharat Health Account
(ABHA) number (formerly Health ID) is strictly voluntary for citizens.
While the government encourages it for better healthcare delivery, no
citizen is mandated to be a part of it.

Statement 3 is Correct: The core architecture of ABDM allows for
interoperability. A citizen with an ABHA number can digitally share
their health records seamlessly with verified doctors and hospitals
across India, ensuring geographical and institutional portability of
medical history.

UPSC Tip: Extreme words like ""must adopt"" or implying forced
compliance for massive digital public goods in India (like Aadhaar for
non-welfare schemes, or health IDs) are usually incorrect, as the
Supreme Court strictly guards privacy and voluntary consent.",Governance,Government Schemes
20,"With reference to Deputy Speaker of Lok Sabha, consider the
following statements:

1. As per the Rules of Procedure and Conduct of Business in Lok Sabha,
the election of Deputy Speaker shall be held on such date as the Speaker
may fix.

2. There is a mandatory provision that the election of a candidate as
Deputy Speaker of Lok Sabha shall be from either the principal
opposition party or the ruling party.

3. The Deputy Speaker has the same power as of the Speaker when
presiding over the sitting of the House and no appeal lies against his
rulings.

4. The well established parliamentary practice regarding the
appointment of Deputy Speaker is that the motion is moved by the Speaker
and duly seconded by the Prime Minister.

Which of the statements given above are correct?","(a) 1 and 3 only
(b) 1, 2 and 3
(c) 3 and 4 only
(d) 2 and 4 only",A,"Statement 1 is Correct: Rule 8 of the Rules of Procedure and Conduct of
Business in Lok Sabha explicitly states that the election of the Deputy
Speaker shall be held on such date as the Speaker may fix. (Note: The
date of election of the Speaker is fixed by the President).

Statement 2 is Incorrect: By convention (since the 11th Lok Sabha in
1996), the position of Deputy Speaker usually goes to the main
opposition party. However, this is merely a convention and NOT a
mandatory provision in the Constitution or the Rules of the House.

Statement 3 is Correct: When the Deputy Speaker occupies the Chair, they
assume all the powers of the Speaker. Their rulings are final and
binding within the House, and no appeal can be made to the Speaker
against a ruling given by the Deputy Speaker.

Statement 4 is Incorrect: There is no well-established parliamentary
practice that dictates the motion must be moved by the Speaker and
seconded by the Prime Minister. Any member can move a motion proposing
another member for the office of the Deputy Speaker.

Context: This question was asked because the 17th Lok Sabha functioned
for a long time without a Deputy Speaker, causing political debate.",Polity,Parliament
21,"Among the following crops, which one is the most important
anthropogenic source of both methane and nitrous oxide ?","(a) Cotton
(b) Rice
(c) Sugarcane
(d) Wheat",B,"Direct Answer: Paddy (Rice) cultivation is uniquely responsible
for high emissions of both Methane ($CH_4$) and Nitrous Oxide
($N_2O$).

Core Mechanisms:

Methane Emission: Traditional rice farming involves flooding
the fields. This continuous waterlogging blocks oxygen from
penetrating the soil, creating anaerobic (oxygen-depleted)
conditions. Methanogenic bacteria thrive in this environment,
decomposing organic matter and releasing massive amounts of
methane into the atmosphere.

Nitrous Oxide Emission: When farmers apply synthetic
nitrogenous fertilizers (like urea) or organic manure to rice
fields, soil microbes undergo nitrification and
denitrification processes. These alternating wetting and
drying cycles in the soil lead to the release of nitrous
oxide, a greenhouse gas roughly 300 times more potent than
$CO_2$.

Relevance: Agriculture accounts for a large chunk of India's
GHG emissions, and rice is the biggest contributor within that
sector.",Environment,Climate change
22,"""System of Rice Intensification"" of cultivation, in which
alternate wetting and drying of rice fields is practised, results in:

1.  Reduced seed requirement

2.  Reduced methane production

3.  Reduced electricity consumption


Select the correct answer using the code given below:","(a) 1 and 2 only 
(b) 2 and 3 only 
(c) 1 and 3 only 
(d) 1, 2 and 3",D,"What is SRI: The System of Rice Intensification (SRI) is an
agro-ecological methodology for increasing the productivity of
irrigated rice. It involves changing the management of plants,
soil, water, and nutrients.

Statement 1 is Correct: Instead of densely planting multiple
seedlings per hill, SRI uses widely spaced, single, young
seedlings. This drastically cuts down the seed requirement (by
up to 80-90%) compared to traditional flooding methods.

Statement 2 is Correct: The defining feature of SRI is
""Alternate Wetting and Drying"" (AWD) rather than continuous
flooding. Because the soil is not permanently waterlogged,
anaerobic methanogenic bacteria cannot survive effectively,
leading to a significant reduction in methane emissions.

Statement 3 is Correct: Since SRI requires far less water
(sometimes up to 50% less), farmers do not need to run their
electric or diesel tubewells constantly. This logically results in
significantly reduced electricityenergy consumption.

Conclusion: All statements highlight the proven ecological and
economic benefits of SRI.",Environment,Agriculture
23,"Which one of the following lakes of West Africa has become dry and
turned into a desert?","(a) Lake Victoria
(b) Lake Faguibine
(c) Lake Oguta
(d) Lake Volta",B,"Direct Answer: Lake Faguibine in Mali (West Africa)
experienced catastrophic drying.

Historical Context: Historically, the lake was fed by annual
flooding from the Niger River. It was one of the largest lakes in
West Africa and supported a thriving fishing and agricultural
economy. However, due to severe and prolonged droughts in the
Sahel region starting in the 1970s, the lake completely dried up
by the 1990s, turning the lakebed into an arid desert environment.

Why others are incorrect:

Lake Victoria: Located in East Africa, it is the largest
lake in Africa and the chief reservoir of the Nile. It is not
dry.

Lake Volta: Located in Ghana, it is the largest artificial
reservoir in the world based on surface area.

Lake Oguta: A lean, finger-like natural lake in
south-eastern Nigeria.

Exam Relevance: Bodies of water shrinking due to climate change
(e.g., Aral Sea, Lake Chad, Lake Faguibine) are standard
geographyenvironment trivia for UPSC.",Environment,Climate change
24,"Gandikota canyon of South India was created by which one of the
following rivers?","(a) Cauvery
(b) Manjira
(c) Pennar
(d) Tungabhadra",C,"Direct Answer: The Gandikota canyon was carved by the Pennar
River.

About the Canyon:

Located in the Kadapa district of Andhra Pradesh, Gandikota is a
stunning gorge formed as the Pennar river cuts through the
Erramala hills.

It is famously nicknamed the ""Grand Canyon of India"" due
to its massive gorge and breathtaking assemblage of red
granite rocks.

The location is also famous for the Gandikota Fort, built
largely during the Kakatiya and Vijayanagara eras.

The River: The Pennar (or Penna) river originates in the Nandi
Hills of Karnataka, flows eastwards through Andhra Pradesh, and
empties into the Bay of Bengal.

UPSC Edge: Recognizing local geographical marvels (like
Gandikota, Lonar lake, Majuli island) and their formative
geological or riverine agents is highly rewarding for the prelims.",Geography,Indian Geography
25,"Consider the following pairs:

           Peak                   Mountains 

  1. Namcha Barwa   Garhwal Himalaya 

  2. Nanda Devi         Kumaon Himalaya 

  3. Nokrek                Sikkim Himalaya 

Which of the pairs given above isare correctly matched ?","(a) 1 and 2
(b) 2 only
(c) 1 and 3
(d) 3 only",B,"Pair 1 is Incorrect: Namcha Barwa is located in the Tibetan Himalaya,
marking the easternmost anchor of the entire Himalayan mountain chain.
It is located far to the east of Arunachal Pradesh, where the
Brahmaputra takes its dramatic hairpin turn into India. The Garhwal
Himalaya is located far away in Uttarakhand.

Pair 2 is Correct: Nanda Devi is located in the state of Uttarakhand. It
is the highest peak situated entirely within India. The section of the
Himalayas lying between the Satluj and Kali rivers is traditionally
known as the Kumaon Himalaya (which also encompasses the Garhwal
region).

Pair 3 is Incorrect: Nokrek is the highest peak of the Garo Hills in the
state of Meghalaya. Geologically, the Meghalaya plateau is an extension
of the Peninsular block, not part of the Sikkim Himalayas.

Conclusion: Only pair 2 is correctly matched.",Geography,Mapping India
