Q.No,Question,Options,Answer,Explanation
22,"Consider the following statements:

Statement-I: Many chewing gums found in the market are considered a
source of environmental pollution.

Statement-II: Many chewing gums contain plastic as gum base.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",A,"Statement-I is correct: Discarded chewing gum is the second most common
form of street litter globally (after cigarette butts) and constitutes a
massive source of persistent environmental pollution.

Statement-II is correct and acts as an explanation: The chewy texture of
modern commercial chewing gum comes from the ""gum base."" Instead of
natural chicle (sap), almost all major brands now use synthetic polymers
and rubbers like polyisobutylene and polyvinyl acetate---which are
structurally plastics.

Because these gums are essentially made of non-biodegradable synthetic
plastics, they do not decompose naturally when discarded. Over time,
they weather into microplastics, contaminating soils and waterways.
Thus, the presence of plastic directly explains why chewing gum is a
persistent environmental pollutant."
23,"Consider the following pairs:

| Country | Animal found in its natural habitat |

|---|---|

| 1. Brazil | Indri |

| 2. Indonesia | Elk |

| 3. Madagascar | Bonobo |

How many of the pairs given above are correctly matched ?","(a) Only one
(b) Only two
(c) All three
(d) None",D,"Indri: The Indri is the largest extant lemur. Lemurs are famously
endemic only to the island nation of Madagascar. They are completely
absent from the natural fauna of Brazil (South America).

Elk: Also known as the wapiti, the elk is one of the largest species
within the deer family. Its natural habitat includes the forests and
forest-edge habitats of North America and high-elevation regions of
Central and East Asia. Indonesia, being a tropical equatorial
archipelago, is not home to the elk.

Bonobo: The Bonobo is an endangered great ape closely related to the
chimpanzee. It is strictly endemic to the Congo Basin in the Democratic
Republic of the Congo (Central Africa). It is not found in Madagascar.

Since every single animal is incorrectly paired with its geographic
natural habitat, the correct option is (d) None."
24,"Consider the following statements regarding World Toilet
Organization:

It is one of the agencies of the United Nations.

World Toilet Summit, World Toilet Day and World Toilet College are the
initiatives of this organization, to inspire action to tackle the global
sanitation crisis.

The main focus of its function is to grant funds to the least developed
countries and developing countries to achieve the end of open
defecation.

Which of the statements given above is/are correct?","(a) 2 only
(b) 3 only
(c) 1 and 2
(d) 2 and 3",A,"Statement 1 is incorrect: The World Toilet Organization (WTO) is a
global non-profit non-governmental organization (NGO) headquartered in
Singapore, founded in 2001 by Jack Sim. It is decidedly NOT an agency of
the United Nations, although it enjoys consultative status with the UN
ECOSOC.

Statement 2 is correct: The WTO is instrumental in breaking the taboo
around sanitation. It successfully created the ""World Toilet Summit""
(an annual global event), established the ""World Toilet College"" for
capacity building, and founded ""World Toilet Day"" (which was later
officially adopted by the UN in 2013).

Statement 3 is incorrect: The WTO acts primarily as an advocacy,
networking, and capacity-building body. It is not a financial
institution, development bank, or philanthropic grant-maker; its main
focus is not distributing funds or financial grants to governments of
least developed nations to build physical toilets.

Hence, only statement 2 is factually correct."
25,"Consider the following statements:

Lions do not have a particular breeding season.

Unlike most other big cats, cheetahs do not roar.

Unlike male lions, male leopards do not proclaim their territory by
scent marking.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",A,"Statement 1 is correct: Lions are polyestrous, meaning females can come
into heat multiple times a year if they do not conceive. Consequently,
lions lack a strictly defined, seasonal breeding window and can mate and
give birth throughout the year.

Statement 2 is correct: Roaring is a characteristic feature limited to
the four ""true"" big cats of the genus Panthera (lion, tiger, leopard,
and jaguar) due to a specially adapted, incompletely ossified hyoid bone
in their throats. Cheetahs (Acinonyx jubatus) possess a completely
ossified hyoid bone, making them physically incapable of roaring;
instead, they purr, chirp, and hiss.

Statement 3 is incorrect: Solitary predators rely heavily on chemical
communication to avoid unnecessary physical conflict. Male leopards are
highly territorial and aggressively proclaim their boundaries using
scent marking methods ---such as spraying urine on bushes, leaving scat
in prominent places, and scraping tree bark---just like male lions do.

Therefore, only statements 1 and 2 are factually accurate."
26,"Which one of the following is the correct description of ""100
Million Farmers""?","(a) It is a platform for accelerating the transition towards food and
water systems that are net-zero (carbon), nature-positive and that aims
to increase farmer resilience.
(b) It is an international alliance and a network of individuals and
farming organisations interested in supporting and strengthening the
development of the organic animal husbandry.
(c) It is a digital platform fully integrated with service providers
and built on blockchain that lets buyers, sellers and third parties
trade fertilizers quickly and securely.
(d) It is a platform with the mission of encouraging the farmers to
form Farmer Product Organisations or Agribusiness Consortiums, thus
facilitating the access to global open markets to sell their products.",A,"The correct answer is (a): ""100 Million Farmers"" is a major
multi-stakeholder platform convened by the World Economic Forum (WEF).

Core Objective: The initiative is designed to catalyze a massive global
transition towards agricultural practices that are climate-friendly. It
aims to support 100 million farmers globally to adopt regenerative
agriculture.

Net-zero and Nature-positive: The exact wording of its mission is to
accelerate the transition to food and water systems that are net-zero
(balancing carbon emissions), nature-positive (enhancing biodiversity),
and capable of increasing the economic and environmental resilience of
farmers.

Why others are incorrect: The initiative is not restricted to organic
animal husbandry (b), it is not a blockchain-based fertilizer trading
app (c), nor is its primary focus merely setting up FPOs for export
markets (d). It is a holistic climate-agriculture policy framework."
27,"Consider the following:

Battery storage

Biomass generators

Fuel cells

Rooftop solar photovoltaic units

How many of the above are considered ""Distributed Energy Resources""?","(a) Only one
(b) Only two
(c) Only three
(d) All four",D,"What are DERs? Distributed Energy Resources (DERs) are small-scale power
generation or storage technologies (typically in the range of 1 kW to
10,000 kW) that are located close to where the electricity is used
(e.g., a home or business), offering an alternative to or an enhancement
of the traditional electric power grid.

Solar and Storage: Rooftop solar PV units are the most common example of
DERs, generating clean power locally. Battery storage systems are
critical companion DERs that store excess local energy for later use.

Fuel Cells and Biomass: Fuel cells generate electricity through local
chemical reactions (using hydrogen or natural gas) and are widely used
as localized power sources. Similarly, localized small-scale biomass
generators produce power close to the source of agricultural or
municipal waste.

Therefore, all four options perfectly fit the definition of Distributed
Energy Resources."
28,"Which one of the following shows a unique relationship with an
insect that has coevolved with it and that is the only insect that can
pollinate this tree?","(a) Fig
(b) Mahua
(c) Sandalwood
(d) Silk cotton",A,"The correct answer is (a) Fig: The relationship between fig trees (Ficus
species) and fig wasps (family Agaonidae) is a classic textbook example
of obligate mutualism and extreme co-evolution.

The Mechanism: Fig flowers are completely enclosed inside the fruit (a
structure called a syconium). Because the flowers are hidden, wind or
typical pollinating insects (like bees) cannot reach them.

Only highly specialized, tiny female fig wasps can squeeze through a
microscopic opening in the fig to lay their eggs inside. While doing so,
they pollinate the internal flowers. Neither organism can complete its
life cycle without the other. Usually, each species of fig tree has its
own specific species of pollinator wasp.

Why others are wrong: Mahua, Sandalwood, and Silk cotton (Semal) trees
are pollinated by a wide variety of generalist pollinators, including
various bees, moths, birds, and even bats. They do not have a strict,
single-insect obligate mutualistic relationship."
29,"Consider the following

Butterflies

Fish

Frogs

How many of the above have poisonous species among them?","(a) Only one
(b) Only two
(c) All three
(d) None",C,"Understanding ""Poisonous"": In biology, ""poisonous"" organisms deliver
toxins when they are touched or eaten by a predator (as opposed to
""venomous"" animals, which actively inject toxins via a bite or sting).

Butterflies: Yes, several species are highly poisonous. The Monarch
butterfly is a famous example; its caterpillars feed on toxic milkweed
plants, sequestering the toxins (cardenolides) into their bodies, which
makes the adult butterfly toxic and unpalatable to birds.

Fish: Yes, fish like the Pufferfish (Fugu) are famously poisonous. They
contain tetrodotoxin in their liver, skin, and ovaries, which is a
potent neurotoxin heavily regulated in Japanese culinary practices to
prevent fatal food poisoning.

Frogs: Yes, the Poison Dart Frogs of Central and South America secrete
powerful lipophilic alkaloid toxins through their skin as a defense
mechanism against predators. Therefore, all three groups contain
poisonous species."
30,"Consider the following:

Cashew

Papaya

Red sanders

How many of the above trees are actually native to India?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"Native vs. Introduced Species: A native (indigenous) species is one that
originated and evolved naturally in a specific geographic region without
human intervention.

Cashew: The cashew tree (Anacardium occidentale) is NOT native to India.
It is indigenous to northeastern Brazil in South America. It was
introduced to India (specifically Goa) by Portuguese explorers in the
16th century, primarily to prevent soil erosion.

Papaya: The papaya tree (Carica papaya) is also NOT native to India. Its
geographic origin lies in the tropical regions of the Americas,
specifically southern Mexico and Central America. It was brought to
India by the Spanish and Portuguese.

Red Sanders: Red sandalwood (Pterocarpus santalinus) is an ancient tree
species strictly native and endemic to India. It naturally grows only in
a highly restricted tract of the Eastern Ghats, predominantly in the
Seshachalam hill ranges of Andhra Pradesh.

Since only Red Sanders is native to India, the correct answer is (a).

Gemini said"
31,"With reference to radioisotope thermoelectric generators (RTGs),
consider the following statements:

RTGs are miniature fission reactors.

RTGs are used for powering the onboard systems of spacecrafts.

RTGs can use Plutonium-238, which is a by-product of weapons
development.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is incorrect: Radioisotope Thermoelectric Generators (RTGs)
are not miniature fission reactors. Fission reactors rely on a
controlled, self-sustaining nuclear chain reaction. RTGs, on the other
hand, contain no moving parts and simply convert the heat released from
the natural radioactive decay of unstable isotopes into electricity
using thermocouples.

Statement 2 is correct: RTGs are widely and crucially used as reliable,
long-lasting power sources for deep space probes (like Voyager and New
Horizons) and planetary rovers (like Curiosity and Perseverance), where
sunlight is too dim for solar panels to be effective.

Statement 3 is correct: The most common and ideal fuel for RTGs is
Plutonium-238. While Pu-238 is a non-weapons-grade isotope (unlike
Pu-239), it has historically been produced in nuclear reactors as a
by-product of the nuclear weapons development industry. Therefore, only
statements 2 and 3 are correct."
32,"Consider the following statements:

Statement-I: Giant stars live much longer than dwarf stars.

Statement-II: Compared to dwarf stars, giant stars have a greater rate
of nuclear reactions.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",D,"Statement-I is incorrect: In stellar evolution, giant, high-mass stars
actually live significantly shorter lives than low-mass dwarf stars.
While a massive hypergiant might live for only a few million years
before exploding as a supernova, a low-mass red dwarf star can continue
burning steadily for trillions of years.

Statement-II is correct: The core of a massive giant star experiences
immense inward gravitational pressure, resulting in extremely high core
temperatures. This environment causes the star to fuse its nuclear fuel
(hydrogen) at a vastly greater, almost ferocious, rate compared to the
relatively cool and low-pressure cores of smaller dwarf stars.

It is precisely because of this extraordinarily high rate of nuclear
reactions (Statement II) that massive stars burn through their massive
fuel supplies so quickly, leading to their paradoxically brief
lifespans. Thus, Statement I is factually wrong."
33,"Which one of the following is synthesised in human body that
dilates blood vessels and increases blood flow?","(a) Nitric oxide
(b) Nitrous oxide
(c) Nitrogen dioxide
(d) Nitrogen pentoxide",A,"The correct answer is (a) Nitric oxide: Nitric oxide (NO) is a crucial
physiological signaling molecule that is naturally synthesized in the
human body by the endothelium---the inner cellular lining of blood
vessels.

Function and Importance: Its primary role in the cardiovascular system
is to act as a potent vasodilator. It signals the smooth muscle cells
surrounding the blood vessels to relax, causing the vessels to widen
(dilate). This physiological action lowers blood pressure and
significantly improves blood flow and oxygen delivery to vital organs.
(Medical drugs like nitroglycerin used for angina work by releasing
nitric oxide).

Why other options are incorrect: Nitrous oxide (N2O) is famously known
as 'laughing gas' and is used exogenously as a mild anesthetic and
analgesic. Nitrogen dioxide (NO2) is a highly toxic, reddish-brown gas
that is a prominent atmospheric air pollutant. Nitrogen pentoxide is an
unstable solid nitrogen oxide not physiologically relevant to human
vasodilation."
34,"Consider the following activities:

Identification of narcotics on passengers at airports or in aircraft

Monitoring of precipitation

Tracking the migration of animals

In how many of the above activities can the radars be used?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"Radar Principles: Radar (Radio Detection and Ranging) systems operate by
emitting radio waves that bounce off physical objects, allowing the
system to determine the target's distance, altitude, direction, and
speed based on the reflected waves.

Activity 1 is incorrect: Radars cannot identify the chemical composition
of substances hidden on a person. To identify narcotics or explosives at
airports, security agencies use technologies like millimeter-wave body
scanners, X-ray machines, Ion Mobility Spectrometry (trace detectors),
and biological sensors (sniffer dogs).

Activity 2 is correct: Weather radars (especially Doppler radars) are
specifically designed and extensively used globally to detect and
monitor atmospheric precipitation (rain, snow, hail). They measure the
size, velocity, and density of water droplets.

Activity 3 is correct: Radar systems are fundamentally utilized in
'aeroecology' to track the large-scale migration patterns, flight
altitudes, and velocities of flocks of birds, bats, and even dense
swarms of insects across continents.

Therefore, radars can be effectively used in exactly two of the listed
activities."
35,"Consider the following aircraft:

Rafael

MiG-29

Tejas MK-1

How many of the above are considered fifth generation fighter aircraft?","(a) Only one
(b) Only two
(c) All three
(d) None",D,"Fifth-Generation Fighters: A true 5th-generation fighter is
characterized by revolutionary technologies, most notably all-aspect
stealth (Very Low Observability airframes), supercruise (the ability to
sustain supersonic flight without using fuel-guzzling afterburners),
internal weapons bays, and highly networked sensor fusion. Examples
include the US F-22 and F-35, the Russian Su-57, and the Chinese J-20.

Rafale: The French Dassault Rafale is an extremely capable,
combat-proven multirole fighter, but it is universally classified as a
4.5-generation aircraft. It incorporates some low-observable features
but lacks a full stealth airframe design.

MiG-29: This is a legacy 4th-generation air superiority fighter
originally developed by the Soviet Union during the Cold War era.

Tejas MK-1: India's indigenous Light Combat Aircraft (LCA) Tejas MK-1
is firmly a 4th-generation fighter. India's prospective 5th-generation
fighter program is the AMCA (Advanced Medium Combat Aircraft), which is
still under development.

Since none of the listed aircraft meet the criteria for a 5th-generation
fighter, the correct answer is (d) None."
36,"In which of the following are hydrogels used?

Controlled drug delivery in patients

Mobile air-conditioning systems

Preparation of industrial lubricants

Select the correct answer using the code given below:","(a) 1 only
(b) 1 and 2 only
(c) 2 and 3 only
(d) 1, 2 and 3",A,"Statement 1 is correct: Hydrogels are three-dimensional polymer networks
capable of absorbing large amounts of water. In biomedicine, they are
extensively used for 'controlled drug delivery' systems because they
can encapsulate drugs and release them steadily over time in response to
specific triggers like pH or temperature.

Statements 2 and 3 are incorrect: While research exists on using
hydrogels for desiccant cooling or specialized aqueous lubrication, they
are not standard or commercially widespread components of ""mobile
air-conditioning systems"" (which typically use vapor compression) or
general ""industrial lubricants"" (which are predominantly oil-based).

Other common uses: Hydrogels are standardly used in soft contact lenses,
tissue engineering, hygiene products (diapers), and agriculture (for
water retention in soil). The answer strictly follows the official
accepted utility."
37,"Which one of the following is the exhaust pipe emission from Fuel
Cell Electric Vehicles, powered by hydrogen?","(a) Hydrogen peroxide
(b) Hydronium
(c) Oxygen
(d) Water vapour",D,"The correct answer is (d) Water vapour: Hydrogen Fuel Cell Electric
Vehicles (FCEVs) generate electricity on-board using an electrochemical
cell rather than burning fuel in an engine.

The Mechanism: Inside the fuel cell, stored hydrogen reacts with
atmospheric oxygen to produce electricity that powers the electric
motor.

Reaction: 2H

2

​

+O

2

​

→2H

2

​

O + Heat/Electricity.

The Exhaust: The only matter emitted from the tailpipe is pure water
(mostly as steam/water vapour) and warm air. There are absolutely no
tailpipe emissions of greenhouse gases or pollutants like CO, CO2, or
NOx, making it a true green mobility solution."
38,"Recently, the term ""pumped-storage hydropower"" is actually and
appropriately discussed in the context of which one of the following?","(a) Irrigation of terraced crop fields
(b) Lift irrigation of cereal crops
(c) Long duration energy storage
(d) Rainwater harvesting system",C,"The correct answer is (c): Pumped-Storage Hydropower (PSH) is widely
discussed today as a critical solution for ""Long Duration Energy
Storage"" to support the green energy transition.

Concept: It functions as a giant mechanical battery. It uses two water
reservoirs at different elevations.

Storing Energy: When there is excess power supply (e.g., sunny
afternoons with high solar output), electricity is used to pump water
from the lower to the upper reservoir.

Releasing Energy: When demand peaks or renewables are down (e.g., at
night), water is released back down through turbines to generate
electricity.

This technology is crucial for grid stability and balancing intermittent
renewable sources like solar and wind."
39,"""Membrane Bioreactors"" are often discussed in the context of:","(a) Assisted reproductive technologies
(b) Drug delivery nanotechnologies
(c) Vaccine production technologies
(d) Wastewater treatment technologies",D,"The correct answer is (d): A Membrane Bioreactor (MBR) is a robust
industrial technology used primarily for advanced wastewater treatment
and water reclamation.

Process: It combines a biological process (like activated sludge, where
microbes break down waste) with a membrane filtration process (like
ultrafiltration or microfiltration).

Mechanism: Instead of using a large gravity settling tank to separate
the treated water from the sludge (as in conventional plants), MBRs use
physical membranes to filter the water out.

Advantages: This results in significantly higher effluent quality
(making it suitable for reuse) and a much smaller physical footprint for
the treatment plant."
40,"With reference to the Indian economy, ""Collateral Borrowing and
Lending Obligations"" are the instruments of:","(a) Bond market
(b) Forex market
(c) Money market
(d) Stock market",C,"The correct answer is (c) Money market: Collateralized Borrowing and
Lending Obligations (CBLO) constitute a money market instrument in
India.

Function: It allows market participants to borrow and lend funds for
short durations (overnight to one year) backed by collateral (government
securities).

Details: It was developed and managed by the Clearing Corporation of
India Ltd. (CCIL). It enabled entities like mutual funds and insurance
companies (which might not have direct access to the inter-bank call
money market) to lend their surplus funds securely, and for
banks/primary dealers to borrow funds against their G-Sec holdings.

Note: In recent years, CBLO has been effectively replaced by the TREPS
(Tri-party Repo) system, but conceptually it remains a classic Indian
money market instrument."
41,The total fertility rate in an economy is defined as:,"(a) the number of children born per 1000 people in the population in a
year.
(b) the number of children born to a couple in their lifetime in a
given population.
(c) the birth rate minus death rate.
(d) the average number of live births a woman would have by the end of
her child-bearing age.",D,"The correct answer is (d): Total Fertility Rate (TFR) is a fundamental
demographic indicator. It is defined precisely as the average number of
live births a hypothetical cohort of women would have at the end of
their reproductive period (typically ages 15-49), assuming they
experience the current age-specific fertility rates throughout their
lives.

Significance of TFR: A TFR of 2.1 is universally recognized as the
'Replacement Level Fertility'. At this rate, a population exactly
replaces itself from one generation to the next without migration.
Recent data (NFHS-5) shows India's national TFR has declined to 2.0,
indicating long-term population stabilization.

Why others are incorrect: Option (a) defines the Crude Birth Rate (CBR).
Option (c) defines the Natural Rate of Population Increase. Option (b)
is incorrect because demographic statistics measure TFR per individual
woman, not per married couple."
42,"Consider the following statements:

In India, Non-Banking Financial Companies can access the Liquidity
Adjustment Facility window of the Reserve Bank of India.

In India, Foreign Institutional Investors can hold the Government
Securities (G-Secs).

In India, Stock Exchanges can offer separate trading platforms for
debts.

Which of the statements given above is/are correct?","(a) 1 and 2 only
(b) 3 only
(c) 1, 2 and 3
(d) 2 and 3 only",C,"Statement 1 is correct: The Liquidity Adjustment Facility (LAF) is a
monetary policy tool used by the RBI. Over the years, the RBI has
broadened market participation. Specific categories of Non-Banking
Financial Companies (NBFCs), along with scheduled commercial banks and
primary dealers, are permitted to access the LAF window to manage their
short-term liquidity mismatches.

Statement 2 is correct: To deepen the domestic bond market and attract
foreign capital, the Government of India and the RBI permit Foreign
Institutional Investors (FIIs) and Foreign Portfolio Investors (FPIs) to
actively invest in and hold Indian Government Securities (G-Secs),
subject to macro-prudential limits.

Statement 3 is correct: To develop a robust secondary market for
corporate bonds and other debt instruments, the Securities and Exchange
Board of India (SEBI) has authorized major stock exchanges (like the NSE
and BSE) to operate dedicated, separate trading platforms exclusively
for debt securities. Therefore, all three statements are factually
accurate."
43,"In India, which of the following can trade in Corporate Bonds and
Government Securities?

Insurance Companies

Pension Funds

Retail Investors

Select the correct answer using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Institutional Participants (1 & 2 are correct): The Indian debt market
is primarily institutional. 'Insurance Companies' and 'Pension
Funds' represent the backbone of the domestic bond market. Because
these entities have long-term liabilities, they are legally mandated and
financially inclined to invest heavily in low-risk, long-tenure
instruments like Government Securities (G-Secs) and highly rated
corporate bonds.

Retail Participation (3 is correct): Historically, retail participation
in G-Secs was negligible due to large lot sizes and lack of direct
access. However, this has fundamentally changed. The RBI introduced the
'RBI Retail Direct Scheme', a landmark initiative that allows
individual 'Retail Investors' to open a Retail Direct Gilt (RDG)
account.

Through this portal, retail investors can now seamlessly bid in primary
auctions and trade in the secondary market for both G-Secs and corporate
bonds. Therefore, all three entities actively trade in these markets."
44,"Consider the following:

Exchange-Traded Funds (ETF)

Motor vehicles

Currency swap

Which of the above is/are considered financial instruments?","(a) 1 only
(b) 2 and 3 only
(c) 1, 2 and 3
(d) 1 and 3 only",D,"Definition of Financial Instruments: In finance, a financial instrument
is a tradable asset of any kind, either cash, evidence of an ownership
interest in an entity (equity), or a contractual right to receive or
deliver cash or another financial instrument (debt/derivatives).

Statement 1 is correct: Exchange-Traded Funds (ETFs) are marketable
securities that track an index, a commodity, bonds, or a basket of
assets like an index fund. They trade on stock exchanges and are
standard financial instruments.

Statement 3 is correct: A Currency Swap is an over-the-counter (OTC)
derivative contract between two parties to exchange interest payments
and principal amounts denominated in two different currencies. It is
widely used to hedge currency risk and is a complex financial
instrument.

Statement 2 is incorrect: Motor vehicles are tangible, physical goods or
real assets. While they have value and can be sold or used as
collateral, they are not financial contracts representing a claim to
future cash flows. Therefore, only 1 and 3 are correct."
45,"With reference to the sectors of the Indian economy, consider the
following pairs:

| Economic activity | Sector |

|---|---|

| 1. Storage of agricultural produce | Secondary |

| 2. Dairy farm | Primary |

| 3. Mineral exploration | Tertiary |

| 4. Weaving cloth | Secondary |

How many of the pairs given above are correctly matched ?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"Sector Classification: The economy is broadly divided into Primary
(extraction of natural resources), Secondary (manufacturing/processing),
and Tertiary (services) sectors.

Row 1 is incorrectly matched: Storage and warehousing of agricultural
produce do not involve manufacturing a new tangible good. It is a
logistical service provided to the agricultural sector, making it a
Tertiary sector activity.

Row 2 is correctly matched: Dairy farming relies directly on biological
natural resources (animals) and land. Like agriculture and fishing, it
is unequivocally a Primary sector activity.

Row 3 is incorrectly matched: Mineral exploration and the subsequent
extraction of ores from the earth is the primary acquisition of raw
materials. Thus, mining and quarrying are strictly Primary sector
activities, not tertiary.

Row 4 is correctly matched: Weaving cloth is an industrial process that
transforms raw materials (yarn) into a finished manufactured good
(textile). This falls perfectly under the Secondary sector. Exactly two
pairs are correct."
46,"Consider the following materials:

Agricultural residues

Corn grain

Wastewater treatment sludge

Wood mill waste

Which of the above can be used as feedstock for producing Sustainable
Aviation Fuel ?","(a) 1 and 2 only
(b) 3 and 4 only
(c) 1, 2, 3 and 4
(d) 1 and 3 only",C,"Understanding SAF: Sustainable Aviation Fuel (SAF) is an advanced,
drop-in biofuel designed for use in aircraft that significantly reduces
life-cycle greenhouse gas emissions compared to conventional fossil jet
fuel.

Approved Feedstocks: The production of SAF relies on advanced conversion
pathways that can process a wide array of sustainable biomass and waste
materials:

Agricultural residues: Crop waste like corn stover and wheat straw are
prime lignocellulosic feedstocks.

Corn grain: Starches from corn grain are fermented to produce ethanol,
which is then upgraded to jet fuel via the certified Alcohol-to-Jet
(ATJ) pathway.

Wastewater treatment sludge: Municipal solid waste and sewage sludge,
which are rich in organic matter and lipids, can be converted using
various waste-to-energy pathways.

Wood mill waste: Forestry residues and wood waste are routinely
processed via gasification and the Fischer-Tropsch synthesis to create
synthetic jet fuel. Therefore, all four materials are viable feedstocks."
47,"With reference to physical capital in Indian economy, consider the
following pairs:

| Items | Category |

|---|---|

| 1. Farmer's plough | Working capital |

| 2. Computer | Fixed capital |

| 3. Yarn used by the weaver | Fixed capital |

| 4. Petrol | Working capital |

How many of the above pairs are correctly matched?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"Concept of Physical Capital: In economics, physical capital encompasses
two categories: Fixed Capital (durable goods like tools, machinery, and
buildings that are used repeatedly over a long period in production) and
Working Capital (raw materials and money in hand that are entirely
consumed or exhausted during a single production cycle).

Row 1 is incorrect: A farmer's plough is a durable tool used across
multiple agricultural seasons. It does not get consumed in one go;
hence, it is Fixed Capital, not working capital.

Row 2 is correct: A computer is an electronic machine used for long-term
operations in a business, classifying it perfectly as Fixed Capital.

Row 3 is incorrect: Yarn is the direct raw material for a weaver. Once
it is woven into cloth, it is consumed and cannot be reused as yarn.
Therefore, it represents Working Capital.

Row 4 is correct: Petrol is a consumable fuel used to run machinery or
transport goods. Because it is immediately exhausted upon use, it falls
under the category of Working Capital. Exactly two pairs are correctly
matched."
48,"Which one of the following words/phrases is most appropriately used
to denote ""an interoperable network of 3D virtual worlds that can be
accessed simultaneously by millions of users, who can exert property
rights over virtual items""?","(a) Big data analytics
(b) Cryptography
(c) Metaverse
(d) Virtual matrix",C,"The correct answer is (c) Metaverse: The Metaverse is widely
conceptualized as the next iteration of the internet (Web3). It
transitions the internet from a 2D web page format into persistent,
shared, 3D virtual spaces linked into a perceived virtual universe.

Key characteristics defined in the prompt: 1. Interoperable network:
Users can travel between different virtual environments seamlessly,
carrying their digital identities and assets with them.

2. Simultaneous access: It is a persistent world that continues to
exist and evolve in real-time for millions of concurrent users.

3. Property rights: A defining feature of the modern Metaverse concept
is the integration of blockchain technology and NFTs, allowing users to
verifiably own, trade, and monetize virtual goods and digital real
estate.

Why others are wrong: Big data analytics refers to processing massive
datasets. Cryptography is the mathematical practice of secure
communication. 'Virtual matrix' is largely a pop-culture reference
rather than a recognized technological framework."
49,"With reference to the rule/rules imposed by the Reserve Bank of
India while treating foreign banks, consider the following statements:

There is no minimum capital requirement for wholly owned banking
subsidiaries in India.

For wholly owned banking subsidiaries in India, at least 50% of the
board members should be Indian nationals.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",D,"Statement 1 is incorrect: To safeguard the domestic financial system,
the Reserve Bank of India (RBI) mandates strict capitalization norms for
foreign banks operating as Wholly Owned Subsidiaries (WOS). The
regulatory framework explicitly requires a foreign bank to bring in an
initial minimum paid-up equity capital of ₹500 crore to set up a WOS in
India. Thus, a capital requirement definitely exists.

Statement 2 is incorrect: According to the RBI's corporate governance
framework for WOS of foreign banks, not less than 50% of the directors
on the board must be ""Independent Directors"" (to ensure unbiased
oversight). Regarding local representation, the specific legal
requirement generally relates to directors being resident in India
(usually a majority or specific fraction), rather than a rigid mandate
that exactly ""50% must be Indian nationals"" (citizenship). The precise
phrasing in the statement makes it legally incorrect."
50,"With reference to Corporate Social Responsibility (CSR) rules in
India, consider the following statements:

CSR rules specify that expenditures that benefit the company directly or
its employees will not be considered as CSR activities.

CSR rules do not specify minimum spending on CSR activities.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,"Statement 1 is correct: The legal framework for CSR in India is governed
by Section 135 of the Companies Act, 2013. The corresponding Companies
(CSR Policy) Rules, 2014 explicitly clarify that activities undertaken
in pursuance of the normal course of business, or activities that
benefit exclusively the employees of the company and their families,
shall NOT be considered valid CSR activities. CSR is intended for
broader societal, environmental, and public welfare.

Statement 2 is incorrect: The law is very strict regarding the minimum
financial commitment. It explicitly specifies that qualifying companies
(meeting certain net worth, turnover, or net profit thresholds) must
statutorily spend, in every financial year, a minimum of 2% of the
company's average net profits made during the three immediately
preceding financial years on approved CSR initiatives. Thus, a minimum
spending limit is definitively specified."
