S.No.,Question Text,Options,Answer,Explanation,Subject
11,"Consider the following statements:

Statement-I: India, despite having uranium deposits, depends on coal
for most of its electricity production. 

Statement-II: Uranium, enriched
to the extent of at least 60%, is required for the production of
electricity. 

Which one of the following is correct in respect of the
above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",C,"The direct answer: The correct answer is (c) as Statement-I is a factually correct observation, but Statement-II is scientifically incorrect.
Statement-I is correct: India possesses domestic uranium reserves (found in states like Jharkhand, Andhra Pradesh, and Meghalaya). However, thermal power generated from coal remains the backbone of India's energy sector, accounting for over 50% of the installed capacity, whereas nuclear energy contributes a very small fraction (around 3%).
Statement-II is incorrect: To produce commercial electricity, nuclear power plants (like Light Water Reactors) use Low-Enriched Uranium (LEU), which has a U-235 concentration of just 3% to 5%. India's Pressurized Heavy Water Reactors (PHWRs) even use unenriched natural uranium (0.7% U-235) .
Core Concept: Uranium enriched to 20% or above is classified as Highly Enriched Uranium (HEU). Enrichment levels of 90% or higher are required to achieve weapons-grade status for nuclear bombs, not for civilian electricity production.",science-tech
12,"Consider the following statements:

Statement-I: Marsupials are not naturally found in India. 

Statement-II: Marsupials can thrive only in montane grasslands with no predators.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",C,"The direct answer: The correct answer is (c) because Statement-I is true and Statement-II is absurdly false.
Statement-I is correct: Marsupials are a group of mammals characterized by premature birth and continued development of the newborn while attached to the nipples on the mother's lower belly, usually inside a pouch (e.g., Kangaroos, Koalas, Opossums). They are naturally endemic primarily to Australasia and the Americas . India's native mammal population consists entirely of placental mammals.
Statement-II is incorrect: Marsupials are highly adaptable and occupy a wide range of ecological niches, not just ""montane grasslands."" They live in arid deserts, tropical rainforests, and eucalyptus woodlands. Furthermore, they coexist with various natural predators like dingoes, wild dogs, birds of prey, and the Tasmanian devil.
Exam Relevance: UPSC frequently tests the natural geographical range of specific animal clades (Biogeography) and uses extreme keywords like ""only"" in ecological statements, which are usually red flags for incorrect options.",geography
13,"Invasive Species Specialist Group' (that develops Global Invasive
Species Database) belongs to which one of the following
organizations?","(a) The International Union for Conservation of Nature
(b) The United Nations Environment Programme
(c) The United Nations World Commission for Environment and Development
(d) The World Wide Fund for Nature",A,"The direct answer: The correct answer is (a), the International Union for Conservation of Nature (IUCN).
Institutional Mapping: The Invasive Species Specialist Group (ISSG) is a global network of scientific and policy experts. It operates under the auspices of the Species Survival Commission (SSC), which is the largest of the six volunteer commissions of the IUCN.
Function: The primary mandate of the ISSG is to promote and facilitate the exchange of invasive species information and knowledge across the globe to restrict the spread of Invasive Alien Species (IAS).
The Database: They manage the Global Invasive Species Database (GISD), which acts as a free, searchable, and comprehensive repository of information on invasive alien species that threaten native biodiversity globally.",environment
14,"Consider the following fauna:

1.Lion-tailed Macaque

2. Malabar Civet

3. Sambar Deer 

How many of the above are generally nocturnal or most
active after sunset?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"The direct answer: The correct answer is (b) as exactly two of the listed animals (Malabar Civet and Sambar Deer) exhibit nocturnal or crepuscular behaviors.

1. [Lion-tailed Macaque: Endemic to the rainforests of the Western Ghats in India, this primate is distinctly diurnal. It spends its daytime actively foraging for fruits and insects in the upper forest canopy and sleeps through the night.

2. [Malabar Civet: This is a critically endangered and elusive viverrid endemic to the Western Ghats. It is strictly nocturnal and terrestrial, known to forage exclusively during the night .

3. [Sambar Deer: Native to the Indian subcontinent and Southeast Asia, Sambar deer are primarily nocturnal or crepuscular (most active at dawn and dusk). They generally retreat into heavy forest cover during the daylight hours to rest and avoid heat and predators.
Exam Relevance: UPSC questions often require aspirants to go beyond just the IUCN status of species and understand their basic behavioral ecology (habitat preference, sleep cycles, and diet).",environment
15,"Which of the following organisms perform waggle dance for others
of their kin to indicate the direction and the distance to a source of
their food?","(a) Butterflies
(b) Dragonflies
(c) Honeybees
(d) Wasps",C,"The direct answer: The correct answer is (c), Honeybees.
Core Concept: The ""waggle dance"" is a highly sophisticated form of animal communication used by worker honeybees. It involves running through a figure-eight pattern on the vertical combs inside the dark hive .
Decoding the Dance: By performing this dance, successful foragers convey two critical pieces of spatial information to their hive mates regarding a newly discovered nectar/pollen source:
Distance: The duration of the straight ""waggle run"" (the middle part of the figure-eight where the bee vibrates its abdomen) directly correlates to the distance of the food source.
Direction: The angle of the waggle run relative to the vertical axis of the honeycomb indicates the angle of the flight path relative to the sun's current position in the sky.
Peripheral Fact: The mechanism of the waggle dance was famously decoded by ethologist Karl von Frisch, a discovery that earned him a share of the Nobel Prize in Physiology or Medicine in",art-culture
16,"Consider the following statements:

1. Some mushrooms have medicinal properties.

2. Some mushrooms have psycho-active properties.

3. Some mushrooms have insecticidal properties.

4. Some mushrooms have bioluminescent properties. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) Only three
(d) All four",D,"The direct answer: The correct answer is (d) because all four statements reflect proven biological characteristics of various fungi/mushrooms.
Medicinal properties: Correct. Mushrooms like Reishi, Shiitake, and Turkey Tail have well-documented medicinal applications, including immune system boosting and potential anti-cancer properties.
Psychoactive properties: Correct. Certain species commonly known as ""magic mushrooms"" contain psilocybin, a naturally occurring psychedelic and hallucinogenic compound.
Insecticidal properties: Correct. Entomopathogenic fungi (like Beauveria bassiana or Cordyceps) act as parasites of insects and kill or seriously disable them, making them useful as biological insecticides.
Bioluminescent properties: Correct. There are over 80 species of bioluminescent fungi (e.g., Panellus stipticus) that emit a greenish light due to a chemical reaction involving luciferin and luciferase .",environment
17,"Consider the following statements regarding the Indian squirrels :

1. They build nests by making burrows in the ground.

2. They store their food materials like nuts and seeds in the ground.

3. They are omnivorous. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"The direct answer: The correct answer is (b) as exactly two statements (Statement 2 and 3) are correct according to the official UPSC key.
Statement 1 is incorrect: The term ""Indian squirrel"" generally refers to the three-striped or five-striped Indian palm squirrel. These are arboreal (tree-dwelling) rodents. They build their nests (called dreys) out of grass and twigs in tree branches or crevices, not by making burrows in the ground. (Ground squirrels like marmots do burrow, but they are not the typical ""Indian squirrel"").
Statement 2 is correct: Like many squirrel species globally, Indian palm squirrels exhibit scatter hoarding behavior. They instinctively hide or bury their food materials, such as nuts and seeds, in the ground or tree crevices for future consumption.
Statement 3 is correct: While they primarily forage for nuts, fruits, and seeds, they are biologically omnivorous. They are known to consume insects, grubs, and occasionally bird eggs or small vertebrates to supplement their protein intake.",science-tech
18,"Consider the following statements:

1. Some microorganisms can grow in environments with temperature above the boiling point of water.

2. Some microorganisms can grow in environments with temperature below the freezing point of water.

3. Some microorganisms can grow in highly acidic environment with a pH below 3. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",C,"The direct answer: The correct answer is (c) because all three statements describe different categories of extremophiles (organisms that thrive in extreme conditions).
Statement 1 is correct: Hyperthermophiles (often belonging to the domain Archaea) can thrive in temperatures well above 100°C (the boiling point of water). They are commonly found in deep-sea hydrothermal vents and volcanic hot springs .
Statement 2 is correct: Psychrophiles or cryophiles are extremophilic organisms that are capable of growth and reproduction in extremely cold temperatures, often below 0°C (the freezing point of water), such as in permafrost, polar ice, and deep ocean waters.
Statement 3 is correct: Acidophiles are microorganisms that thrive under highly acidic conditions, specifically at a pH of 3.0 or below. They are often found in naturally acidic environments like sulfur-rich geothermal springs or anthropogenic environments like acid mine drainage.",geography
19,"Which one of the following makes a tool with a stick to scrape
insects from a hole in a tree or a log of wood?","(a) Fishing cat
(b) Orangutan
(c) Otter
(d) Sloth bear",B,"The direct answer: The correct answer is (b), Orangutan.
Core Concept (Tool use in animals): Orangutans are highly intelligent great apes native to the rainforests of Borneo and Sumatra. They are famous for their sophisticated cognitive abilities, including the deliberate manufacture and use of tools .
Specific Behavior: Orangutans have been extensively observed modifying sticks (by stripping leaves and breaking them to specific lengths) to extract insects, honey, or seeds from tree holes and logs where their fingers cannot reach.
Why other options are wrong:
Fishing cats: They are specialized aquatic hunters relying on agility and claws, not tools.
Otters: While sea otters use rocks as anvils to smash open mollusk shells, they do not manufacture stick tools to scrape insects.
Sloth bears: They have specialized physical adaptations (long, sickle-shaped claws for digging and a specialized snout for vacuum-sucking) to hunt termites and ants, eliminating the need for external stick tools.",geography
20,"Consider the following:

1. Aerosols

2. Foam agents

3. Fire retardants

4. Lubricants 

In the making of how many of the above are hydrofluorocarbons used?","(a) Only one
(b) Only two
(c) Only three
(d) All four",C,"The direct answer: The correct answer is (c) as hydrofluorocarbons (HFCs) are primarily used in three of the four listed applications according to standard industrial classifications.
Core Concept: HFCs are synthetic compounds that were introduced as non-ozone-depleting alternatives to Chlorofluorocarbons (CFCs) and Hydrochlorofluorocarbons (HCFCs).
Applications:
Aerosols: HFCs are widely used as propellants in aerosol sprays (like asthma inhalers and technical sprays).
Foam agents: They act as blowing agents in the manufacture of polyurethane and extruded polystyrene insulation foams.
Fire retardants: Specific HFCs are used as clean agents in fire suppression systems because they do not leave residue.
Why Lubricants is excluded: While there might be highly specialized fluorinated lubricants, standard commercial HFCs are volatile gases or liquids used for thermodynamics (refrigeration) or propulsion, not as primary lubricating agents (which are mostly petroleum or synthetic oil-based).
Current Relevance: HFCs are potent greenhouse gases with high Global Warming Potential (GWP). The Kigali Amendment to the Montreal Protocol mandates the global phase-down of HFCs.",environment
21,"Consider the following statements: 

Statement-I : Interest income from the deposits in Infrastructure Investment Trusts (InvITs)
distributed to their investors is exempted from tax, but the dividend is
taxable. 

Statement-II: InvITs are recognized as borrowers under the 'Securitization and Reconstruction of Financial Assets and Enforcement
of Security Interest Act, 2002'. 

Which one of the following is correct in respect of the above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",D,"The direct answer: The correct answer is (d) because Statement-I is factually incorrect while Statement-II is correct.
Statement-I is incorrect: Infrastructure Investment Trusts (InvITs) are collective investment vehicles. The tax treatment of their distributions is specific: the interest income distributed to unit holders is taxable in the hands of the investors according to their respective tax slabs. Conversely, the dividend income is generally exempt from tax in the hands of the investor (provided the underlying Special Purpose Vehicle or SPV has not opted for the lower tax regime under Section 115BAA). The statement reversed this accounting logic.
Statement-II is correct: In 2021, the government notified 'Pooled Investment Vehicles', which includes InvITs and REITs, as 'borrowers' under the SARFAESI Act, 2002. This allows them to raise debt more easily and provides lenders with a clear legal framework to enforce security interests if defaults occur.",economy
22,"Consider the following statements:

Statement-I: In the post-pandemic recent past, many Central Banks worldwide had carried out
interest rate hikes. 

Statement-II: Central Banks generally assume that they have the ability to counteract the rising consumer prices via
monetary policy means. 
Which one of the following is correct in respect of the above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",A,"The direct answer: The correct answer is (a) because both statements are correct, and Statement-II provides the exact macroeconomic rationale for the action described in Statement-I.
Statement-I is correct: Following the COVID-19 pandemic, massive fiscal stimuli and disrupted global supply chains led to historic highs in inflation. To cool down the overheated economies, Central Banks globally (such as the US Fed, ECB, and RBI) aggressively hiked benchmark interest rates.
Statement-II is correct and explains Statement-I: The foundational premise of modern central banking is that monetary policy tools (primarily adjusting interest rates) are effective mechanisms to manage inflation (rising consumer prices). By increasing the cost of borrowing, central banks actively reduce market liquidity and consumer demand, effectively counteracting inflationary pressures.",economy
23,"Consider the following statements:

Statement-I : Carbon markets are
likely to be one of the most widespread tools in the fight against climate change. 

Statement-II: Carbon markets transfer resources from the private sector to the State. 

Which one of the following is correct in respect of the above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-1 is incorrect but Statement-II is correct",C,"The direct answer: The correct answer is (c) as Statement-I is correct, but Statement-II represents a fundamental misunderstanding of how carbon markets function.
Statement-I is correct: Carbon markets (like Emissions Trading Systems or Cap-and-Trade) put a price on carbon, creating financial incentives for reducing greenhouse gas emissions. They are widely recognized globally as one of the most efficient economic tools to combat climate change.
Statement-II is incorrect: A carbon tax might transfer wealth from the private sector to the State, but carbon markets primarily facilitate the transfer of resources within the private sector (or between private and green-project entities). A high-emitting company buys carbon credits from a low-emitting company. The capital flows directly toward companies investing in cleaner, green technologies, bypassing the State's coffers.",economy
24,"Which one of the following activities of the Reserve Bank of India
is considered to be part of 'sterilization'?","(a) Conducting \'Open Market Operations\'
(b) Oversight of settlement and payment systems
(c) Debt and cash management for the Central and State Governments
(d) Regulating the functions of Non-banking Financial Institutions",A,"The direct answer: The correct answer is (a), Conducting 'Open Market Operations'.
The Concept of Sterilization: Sterilization is a macroeconomic policy tool used by a central bank (like the RBI) to neutralize the impact of its foreign exchange interventions on the domestic money supply.
How it works: When there is a massive inflow of foreign capital, the RBI buys foreign currency (e.g., US Dollars) to prevent the Rupee from appreciating too much. This purchase injects domestic currency (Rupees) into the banking system, increasing liquidity and risking inflation. To ""sterilize"" or mop up this excess domestic liquidity, the RBI conducts Open Market Operations (OMO) by selling Government Securities (G-Secs) to banks, thereby absorbing the excess Rupees back into its reserves.
Other Options: The other activities listed are standard regulatory and banker-to-government functions, completely unrelated to the specific monetary phenomenon of sterilization.",economy
25,"Consider the following markets:

1. Government Bond Market

2. Call Money Market

3. Treasury Bill Market

4. Stock Market 

How many of the above are included in capital markets?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"The direct answer: The correct answer is (b) as exactly two of the listed markets belong to the capital market.
Core Financial Concepts: The financial system is broadly divided into two segments based on the maturity period of the instruments traded:
Capital Market: Deals with medium and long-term funds (maturity period greater than one year). Companies and governments raise long-term capital here. Therefore, the Government Bond Market (which deals in dated securities like 5-year or 10-year G-Secs) and the Stock Market (which deals in equity shares with perpetual life) are part of the Capital Market.
Money Market: Deals with short-term funds (maturity period up to one year) to manage day-to-day liquidity mismatches. The Call Money Market (where banks borrow from each other overnight) and the Treasury Bill Market (instruments issued by the government for 91, 182, or 364 days) strictly belong to the Money Market.
Analytical Note: Understanding these financial ratios and the structural difference in accounting timelines (short-term vs long-term liabilities) makes answering such classifications straightforward.",economy
26,"Which one of the following best describes the concept of 'Small
Farmer Large Field' in a country?","(a) Resettlement of a large number of people, uprooted from their countries due to war, by giving them a large cultivable land which they cultivate collectively and share the produce
(b) Many marginal farmers in an area organize themselves into groups and synchronize and harmonize selected agricultural operations
(c) Many marginal farmers in an area together make a contract with a corporate body and surrender their land to the corporate body for a fixed term for which the corporate body makes a payment of agreed amount to the farmers
(d) A company extends loans, technical knowledge and material inputs to a number of small farmers in an area so that they produce the agricultural commodity required by the company for its manufacturing process and commercial production",B,"The direct answer: The correct answer is (b). The ""Small Farmer Large Field"" (SFLF) concept revolves around collective action by smallholders to achieve economies of scale.
Core Concept: In the SFLF model, small and marginal farmers with adjacent or nearby landholdings voluntarily organize themselves into groups. While retaining their individual land ownership, they synchronize crucial agricultural operations---such as bulk purchasing of seeds/fertilizers, coordinated planting/harvesting, and collective marketing.
Benefits: This synchronization dramatically reduces input costs, improves bargaining power against middlemen, and ensures uniform crop quality. It is a participatory model successfully piloted in countries like Vietnam and adapted in Indian states like Odisha.
Why other options are wrong: Option (a) describes refugee resettlement and collective farming. Option (c) is a description of Corporate Farming (leasing out land). Option (d) describes Contract Farming.",economy
27,"Consider the following statements:

1. The Government of India provides Minimum Support Price for niger (Guizotia abyssinica) seeds.

2. Niger is cultivated as a Kharif crop.

3. Some tribal people in India use niger seed oil for cooking. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",C,"The direct answer: The correct answer is (c) as all three statements are factually correct.
Statement 1 is correct: The Government of India announces Minimum Support Prices (MSP) for 22 mandated crops based on the recommendations of the Commission for Agricultural Costs and Prices (CACP). Niger seed is officially included in this list as a crucial commercial oilseed.
Statement 2 is correct: Niger (Ramtil or Kalatil) is predominantly cultivated as a Kharif crop. It is sown during the monsoon season (June/July) and harvested in autumn. It is known for its resilience and ability to grow in poor soils with minimal moisture.
Statement 3 is correct: Niger cultivation in India is largely confined to the tribal pockets of central and eastern India (like Odisha, Madhya Pradesh, Chhattisgarh, and Maharashtra). The extracted oil is highly nutritious and has been traditionally used by these indigenous tribal communities for cooking and lighting.",geography
28,"Consider the investments in the following assets :

1. Brand recognition

2. Inventory

3. Intellectual property

4. Mailing list of clients 

How many of the above are considered intangible investments?","(a) Only one
(b) Only two
(c) Only three
(d) All four",C,"The direct answer: The correct answer is (c) because exactly three items (1, 3, and 4) qualify as intangible investments.
Core Accounting Concept: In financial accounting, an asset is classified based on its physical substance.
Intangible Assets: Non-physical assets that grant the holder a long-term economic benefit or competitive advantage. They cannot be touched but possess immense value on the balance sheet.
Tangible Assets: Physical assets that have a measurable, physical form (like cash, property, plant, and equipment).
Breakdown of Options:
1. Brand recognition: Intangible. It falls under 'Goodwill' and market reputation.
2. Inventory: Tangible. Inventory consists of physical goods, raw materials, or work-in-progress stored in a warehouse.
3. Intellectual property: Intangible. Patents, copyrights, and trademarks are legal rights devoid of physical form.
4. Mailing list of clients: Intangible. Customer databases and mailing lists represent a digital/informational asset that drives future revenues, categorized under data assets or customer relationships.",economy
