Q.No,2,Options,Answer,Explanation,Difficulty,TimePeriod,Sub- Topic
19," Consider the following pairs of Vedic literature and their famous excerpts:
1. Mundaka Upanishad - Satyamev Jayate

2. Chhandogya Upanishad - Tatvamasi

3. Brihadaranyaka Upanishad - Aham Brahmasmi

How many of the above pairs are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Pair 1 is correct: The national motto Satyamev Jayate (Truth alone triumphs) is famously derived from the Mundaka Upanishad. Pair 2 is correct: The profound non-dualistic statement Tatvamasi (Thou art that) originates from the Chhandogya Upanishad. Pair 3 is correct: The philosophical realization Aham Brahmasmi (I am Brahman) is found in the Brihadaranyaka Upanishad.


Core Concepts: The Upanishads constitute the Jnana Kanda (knowledge portion) of the Vedas, shifting the Vedic focus from external ritual sacrifices to internal meditation and the quest for the ultimate reality (Brahman).


Peripheral Facts: The Brihadaranyaka is the oldest and largest Upanishad and also contains the famous invocation Tamaso Ma Jyotirgamaya (Lead me from darkness to light).",MEDIUM,Ancient,"Vedic Period (Upanishadic Literature)"
20,"Which of the following Chalcolithic sites is associated with the largest Jorwe culture settlement in the Godavari valley and the recovery of bronze goods like a two-wheeled chariot?

","(A) Navdatoli
(B) Ahar
(C) Daimabad
(D) Kayatha",C,"Direct Answer: Option (C) is correct. Daimabad in Maharashtra is the largest site of the Chalcolithic Jorwe culture, famous for yielding massive bronze hoards, most notably a chariot driven by a man.


Why the other options are wrong: Navdatoli is a major site on the Narmada known for diverse crops. Ahar is in Rajasthan, known as Tambavati for copper smelting. Kayatha is an early site on the Chambal river.


Core Concepts: The Jorwe culture represents a highly developed village farming community in the Deccan that heavily relied on copper/bronze tools alongside microliths.


Peripheral Facts: Due to the sophistication of the bronze artifacts found at Daimabad, many archaeologists classify it as the southernmost outpost or late extension of the Harappan civilization.",MEDIUM,Ancient,"Chalcolithic Age"
21,"Match the following Gupta administration officers with their roles:
(Term)                                   (Meaning)
A. Sandhi-Vigrahika      1. Minister of peace and war
B. Uparikara                  2. Tax levied on cloth and oil
C. Pustapala                 3. Record-keeper
D. Akshapataladhikrita  4. Accounts registers

Select the correct answer:

","Select the correct answer:
(A) A-1, B-2, C-3, D-4
(B) A-2, B-1, C-4, D-3
(C) A-1, B-3, C-2, D-4
(D) A-4, B-3, C-2, D-1",A,"Pair A-1 is correct: The Sandhi-Vigrahika was the crucial minister of peace and war, managing foreign affairs and military alliances. Pair B-2 is correct: Uparikara was an extra, often temporary tax levied on subjects, historically interpreted as a tax on cloth/oil or an impost on temporary cultivators. Pair C-3 is correct: The Pustapala was the state record-keeper, essential for maintaining land transaction documents. Pair D-4 is correct: The Akshapataladhikrita functioned as the accountant general, overseeing state registers.


Core Concepts: The Gupta administration relied on a decentralized but highly specialized bureaucracy to manage its vast territory, with many high-ranking posts becoming hereditary.


Peripheral Facts: Harisena, the author of the Prayag Prashasti, held multiple titles simultaneously, including Kumaramatya (chief minister) and Sandhi-Vigrahika, showing concentration of power.",MEDIUM,Ancient,"Gupta Empire (Administration)"
22,"Which Pallava ruler is credited with introducing rock-cut temple architecture and authoring the play Mattavilasa Prahasana?

","(A) Simhavishnu
(B) Mahendravarman I
(C) Narasimhavarman I
(D) Dantivarman",B,"Direct Answer: Option (B) is correct. Mahendravarman I was a pioneer of South Indian rock-cut architecture (creating cave temples known as Mandapas) and a gifted author who wrote the satirical play Mattavilasa Prahasana.


Why the other options are wrong: Simhavishnu founded the imperial line. Narasimhavarman I advanced architecture to monolithic rathas and defeated Pulakesin II. Dantivarman was a later, weaker ruler.


Core Concepts: Pallava architecture evolved in distinct phases corresponding to rulers: Mahendra group (rock-cut caves), Mamalla group (monolithic rathas), and Rajasimha group (structural temples).


Peripheral Facts: Mattavilasa Prahasana (The Farce of Drunken Sport) humorously satirizes the degenerate practices of Kapalika and Pasupata Shaivite sects, as well as Buddhist monks in Kanchipuram.",MEDIUM,Ancient," Ancient South India (Pallava Dynasty)"
23,"Under the Chola local administration system, an assembly consisting specifically of adult males in agraharas (rent-free Brahman villages) was known as:

","(A) Ur
(B) Sabha
(C) Nagaram
(D) Nattar
",B,"Direct Answer: Option (B) is correct. In the Chola decentralized administrative system, the Sabha (or Mahasabha) was the exclusive governing assembly of adult men in Agraharas (Brahmana villages).


Why the other options are wrong: The Ur was the general assembly for common, non-Brahmana villages. Nagaram was the assembly of traders and merchants. Nattar was the council of the broader district (Nadu).


Core Concepts: Chola local self-government was highly democratic and structured, relying on a complex system of committees (Variyams) selected through an election process (Kudavolai system).


Peripheral Facts: The detailed workings, qualifications, and disqualifications for members of the Sabha are famously recorded in the Uthiramerur inscriptions of Parantaka I.",MEDIUM,Ancient,"Early Medieval South India (Chola Administration)"
24,"Consider the following statements about Harsha's administration:
1. Harsha used to organize a religious assembly at Prayaga once every five years to distribute his wealth in charity.

2. The kingdom completely eradicated the feudal Jagirdari system, paying all feudatories strictly in cash.

Which of the statements given above is/are correct?

","(A) 1 only
(B) 2 only
(C) Both 1 and 2
(D) Neither 1 nor 2
",A,"Statement 1 is correct: Emperor Harsha famously convened a massive religious assembly (Mahamoksha Parishad) at Prayaga every five years, where he distributed his accumulated treasury to all sects and the poor. Statement 2 is incorrect: Harsha did not eradicate the feudal system; he embraced it. His empire relied heavily on Samanta Maharajas (feudatories) who were paid via land grants (Jagirs), not cash.


Core Concepts: The Post-Gupta era was marked by aggressive political decentralization and the entrenchment of Indian Feudalism, where state officers and religious institutions became powerful landlords.


Peripheral Facts: Harsha's reign is extensively documented due to the accounts of the Chinese pilgrim Xuanzang (Hiuen Tsang) and the biography Harshacharita written by his court poet Banabhatta.",MEDIUM,Ancient,"Post-Gupta Period (Harshavardhana)"
25,"Match the Post-Gupta dynasties with their notable founders/rulers:
(Dynasty)                                (Founder/ruler)
A. Maitrakas                        1. Bhattarka
B. Maukharis                       2. Isanavarman
C. Gaudas                           3. Shashanka
D. Pushyabhuti                    4. Prabhakaravardhana

Select the correct answer:

","(A) A-1, B-2, C-3, D-4
(B) A-2, B-1, C-4, D-3
(C) A-3, B-1, C-2, D-4
(D) A-4, B-3, C-2, D-1",A,"Pair A-1 is correct: The Maitraka dynasty, which ruled from Valabhi in Gujarat, was founded by the military commander Bhattarka. Pair B-2 is correct: The Maukhari dynasty of Kannauj rose to imperial status under Isanavarman. Pair C-3 is correct: The Gauda dynasty of Bengal was fiercely led by Shashanka, a major rival of Harsha. Pair D-4 is correct: The Pushyabhuti dynasty of Thanesar became a paramount power under Harsha's father, Prabhakaravardhana.


Core Concepts: Following the collapse of the unified Gupta Empire, North India fractured into multiple regional principalities that constantly warred for supremacy, setting the stage for the Tripartite Struggle.


Peripheral Facts: The Maitrakas of Valabhi are highly notable for transforming their capital into a premier center of Buddhist learning, rivaling Nalanda in the east.",MEDIUM,Ancient,"Post-Gupta Period (Regional Dynasties)"
26,"According to the classification of Sangam literature, which of the following best describes the Patinenkilkanakku?

","(A) It consists of the 8 anthologies and 10 idylls forming the oldest poetry.
(B) It is a collection of 18 poetry compositions focused heavily on ethics and morals, including the Thirukkural.
(C) It strictly deals with grammatical rules and the five geographical landscapes.
(D) It refers specifically to the epics like Silappadikaram and Manimekalai.",B,"Direct Answer: Option (B) is correct. The Patinenkilkanakku is a collection of 18 minor works belonging to the post-Sangam period, predominantly focusing on moral and didactic teachings, with Thirukkural being its crown jewel.


Why the other options are wrong: Option A describes the Patinenmelkanakku (the older narrative poetry). Option C describes the grammar text Tolkappiyam. Option D refers to the later Tamil epics.


Core Concepts: Sangam literature is broadly categorized by age and theme. The earlier works are narrative (heroic/romantic), while the later works (driven by Jain/Buddhist influence) are highly didactic.


Peripheral Facts: Thiruvalluvar's Thirukkural is often revered as the Bible of the Tamil Land, encompassing profound aphorisms on virtue, wealth, and love.",MEDIUM,Ancient,Sangam Age (Literature)
27,"With reference to the Mauryan judicial system as described in Kautilya's Arthashastra, consider the following statements:

1. Dharmasthiya courts dealt primarily with criminal offences and matters concerning the state's security.

2. Kantakasodhana courts handled civil disputes such as marriage, inheritance, and contracts.

3. The highest court of appeal was headed by the King himself, assisted by the Chief Justice (Pradvivaka).

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None
",A,"Statement 1 is incorrect: The Dharmasthiya courts were primarily civil courts. They dealt with personal laws, marriage disputes, inheritance, and business contracts. Statement 2 is incorrect: The Kantakasodhana (removal of thorns) courts were special criminal courts handling offences against the state, security threats, and severe crimes. Statement 3 is correct: The King was the fountainhead of justice and the absolute final court of appeal. He was assisted by the Chief Justice (Pradvivaka) and a panel of learned Brahmanas (Amatyas).


Core Concepts: Kautilya's Arthashastra outlines a rigorous, highly codified dual-court system designed to maintain strict internal law and order and protect the state's vast economic interests.


Peripheral Facts: To aid the Kantakasodhana courts and magistrates, the Mauryan state employed an extensive, highly organized network of spies (Gudhapurushas) to root out internal dissent, corruption, and economic fraud.",MEDIUM,Ancient,"Post-Mauryan Period (Kushana Dynasty)"
28,"With reference to the differences between Hinayana and Mahayana Buddhism, consider the following statements:

1. Hinayana relies strictly on self-discipline and meditation, whereas Mahayana emphasizes seeking salvation through the help of Bodhisattvas.

2. Mahayana fostered the deification and idol worship of Buddha, which was originally rejected by early Hinayana traditions.

3. Hinayana flourished predominantly in Central and East Asia, while Mahayana became the dominant sect in Sri Lanka.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Hinayana stresses self-effort for Nirvana, while Mahayana relies on the grace and compassion of Bodhisattvas. Statement 2 is correct: Mahayana broke early traditions by introducing the deification and idol worship of the Buddha. Statement 3 is incorrect: Geography is reversed. Hinayana (Theravada) dominated the South (Sri Lanka, Burma), while Mahayana spread North (China, Tibet, Japan).


Core Concepts: The schism officially occurred at the Fourth Buddhist Council in Kashmir, reflecting a shift from orthodox asceticism to popular, accessible devotionalism.


Peripheral Facts: Mahayana introduced the concept of Paramitas (perfections) and elevated Buddha from a great human teacher to a God requiring devotion.",HARD,Ancient,"Heterodox Sects (Buddhism: Sects and Spread)"
29,"Consider the following rows regarding ancient Indian ports:
  (Port)                       (State)                    (Description of the port)
1. Muchiri                   Kerala                       Chera Port
2. Korkai                    Tamil Nadu                Pandyan Pearl Fishery
3. Tamralipti               West Bengal             Gupta/Post-Gupta Eastern Port

How many of the above rows are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Row 1 is correct: Muchiri was a Chera port in Kerala. Row 2 is correct: Korkai was a Pandyan port famous for pearls. Row 3 is correct: Tamralipti was the primary eastern port in Bengal.


Core Concepts: Maritime trade, especially with the Roman Empire, was the primary engine of wealth for ancient coastal kingdoms, heavily relying on the discovery of monsoon winds.


Peripheral Facts: Periplus of the Erythrean Sea provides extensive documentation of Muziris and the Indo-Roman spice trade.",HARD,Ancient,"Ancient Indian Economy (Ports and Trade)"
